cell_id,route,c2_scope,problem,panel,N,p,s,K,s_upper_bound,design,law,sparsity_information,cell_index,n_records,n_ok,n_numerical_failure,n_selection_failure_empty,n_program_or_schema_error,n_other_status,n_empty_selection,n_interval_reportable,n_total_failure,n_containment,containment,containment_se,n_containment_selected,containment_selected,containment_selected_se,n_containment_candidate_raw_field,n_containment_selected_raw_naive,n_exact_recovery,exact_recovery,exact_recovery_se,n_exact_recovery_recomputed_ok_only,n_recovery_field_vs_recomputed_mismatch,n_naive_recovery_bug,naive_recovery_bug_excess,n_strict_simultaneous_coverage,strict_simultaneous_coverage,strict_simultaneous_coverage_se,n_coverage_conditional_numerator,n_coverage_numerator_not_subset_of_recovery,coverage_conditional_on_exact_recovery,coverage_conditional_on_exact_recovery_se,coverage_conditional_denominator,n_active_joint_coverage_field,mean_interval_width,mean_interval_width_se,mean_interval_width_n,n_width_missing_among_ok,n_computational_failure,computational_failure_rate,computational_failure_rate_se,false_negative_count_reportable,false_negative_count_including_empty_selection,false_negative_count_including_all_nonok,false_negative_denominator_reportable_records,false_negative_denominator_all_records,false_negative_rate_per_active_coord_reportable,false_negative_rate_per_active_coord_all,n_records_with_any_false_negative,false_positive_count,n_records_with_any_false_positive,false_positive_rate_per_record_reportable,n_tail_boundary_hits_positive,false_negative_rate_per_active_coord_reportable_se,false_negative_rate_per_active_coord_all_se,false_negative_record_rate_reportable,false_negative_record_rate_reportable_se,false_negative_record_rate_all,false_negative_record_rate_all_se,false_positive_record_rate_reportable,false_positive_record_rate_reportable_se,empty_selection_rate,empty_selection_rate_se,n_ok_rate,n_ok_rate_se
rank_N500_p1000_s3_toeplitz_law6,known_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,toeplitz,6,exact_s_known,11,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,958,0.958,0.0063431853,958,0,0.958,0.0063431853,1000,958,0.260989364,0.000508861,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_toeplitz_law6,unknown_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,toeplitz,6,upper_bound_K_known,11,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,999,0.999,0.0009994999,999,0,999,0,957,0.957,0.0064149045,957,0,0.957957958,0.0063493955,999,958,0.2609737945,0.0005086017,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,1,1,0.001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0009994999,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_tridiag_law1,known_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,tridiag,1,exact_s_known,12,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,953,0.953,0.0066926079,953,0,0.953,0.0066926079,1000,953,0.2251281672,0.0004160868,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_tridiag_law1,unknown_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,tridiag,1,upper_bound_K_known,12,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,997,0.997,0.0017294508,997,0,997,0,950,0.95,0.0068920244,950,0,0.9528585757,0.006712248,997,953,0.2251329056,0.0004147209,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,3,3,0.003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0017294508,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_tridiag_law2,known_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,tridiag,2,exact_s_known,13,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,955,0.955,0.006555532,955,0,0.955,0.006555532,1000,955,0.1954950098,0.0003997217,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_tridiag_law2,unknown_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,tridiag,2,upper_bound_K_known,13,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,955,0.955,0.006555532,955,0,0.955,0.006555532,1000,955,0.1954950098,0.0003997217,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_tridiag_law3,known_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,tridiag,3,exact_s_known,14,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,958,0.958,0.0063431853,958,0,0.958,0.0063431853,1000,958,0.2126697596,0.0003885375,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_tridiag_law3,unknown_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,tridiag,3,upper_bound_K_known,14,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,958,0.958,0.0063431853,958,0,0.958,0.0063431853,1000,958,0.2126697596,0.0003885375,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_tridiag_law4,known_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,tridiag,4,exact_s_known,15,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,962,0.962,0.0060461558,962,0,0.962,0.0060461558,1000,962,0.2910264341,0.0006166474,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_tridiag_law4,unknown_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,tridiag,4,upper_bound_K_known,15,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,999,0.999,0.0009994999,999,0,999,0,961,0.961,0.0061220095,961,0,0.961961962,0.0060520884,999,962,0.2910295566,0.0006167767,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,1,1,0.001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0009994999,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_tridiag_law5,known_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,tridiag,5,exact_s_known,16,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,972,0.972,0.0052168956,972,0,0.972,0.0052168956,1000,972,0.455315238,0.0012085696,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_tridiag_law5,unknown_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,tridiag,5,upper_bound_K_known,16,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,972,0.972,0.0052168956,972,0,0.972,0.0052168956,1000,972,0.455315238,0.0012085696,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
