kernel,n_total,n1,B,scheme,Lambda,lambda_B,R,T,t0,steps,BT,Bt0,m0,m,P,v_emp,v_data,v_alg,v_pred,ratio_emp_pred,alg_share,bias_abs,cov_full,cov_data_only,mcse_cov,pilot_ok_frac,pilot_gradnorm_max,floor_frac,kappa_max,zeta_projected_frac,zeta_proj_moved_mean,finite_frac,D0_same_across_B,t_pilot,t_hessian0,t_recursion,t_terminal,t_anchors,t_total,v_emp_theta1,v_data_theta1,v_alg_theta1,v_pred_theta1,ratio_emp_pred_theta1,alg_share_theta1,cov_full_theta1,cov_data_only_theta1
rank,1000,1000,10,WR,9.96,0.996,1000,996,10,986,9960,100,9261,9261,16,0.0012073901394014,0.0010573604907055,0.0001443811735432,0.0012017416642487,1.0047763311426054,0.1201433636264616,0.0001660849866862,0.9485,0.931,0.0068920243760451,1.0,5.8388939432005045e-09,0.0,1.388773469135771,0.0,0.0,1.0,True,0.000926873124903,0.001068327478657,0.0136752460138523,0.0013361736332881,0.0023075922109419,0.0193510943646542,0.0011832345575017041,0.0010608373670695545,0.00014481676453975578,0.0012056541316093103,0.981404638760139,0.12011468359209618,0.95,0.931
rank,1000,1000,100,WR,9.9,0.099,1000,99,1,98,9900,100,9261,9261,16,0.0012088173988496,0.0010573237074829,0.0001452511242421,0.001202574831725,1.0052633024314137,0.1207835307761543,0.0001334010204753,0.9465,0.93,0.0068920243760451,1.0,5.8388939432005045e-09,0.0,1.3901091889149693,0.0,0.0,1.0,True,0.0008942812415189,0.00104917464772,0.0020165471399668,0.0012514421847881,0.0022861765739507,0.0075352865050081,0.001185580526737243,0.0010607486233208782,0.00014568262777307943,0.0012064312510939577,0.9827170223435376,0.12075501827474923,0.948,0.929
rank,10000,10000,1,WR,13.2877,13.2877,1000,132877,300,132577,132877,300,16490,16490,16,0.000119030374465,0.0001054362809595,1.124957534197971e-05,0.0001166858563015,1.0200221350380638,0.096409151738137,0.0003928288330028,0.9485,0.9365,0.0068920243760451,1.0,6.060891067578673e-09,0.0,1.26010684298395,0.0,0.0,1.0,True,0.0015459448687615,0.002921585444943,1.648222419604892,0.0025480226480285,0.0239036858673789,1.6791935018297517,0.00011596229945139059,0.0001051131586226387,1.1218410646314387e-05,0.00011633156926895308,0.9968257127460495,0.09643479166328404,0.954,0.939
rank,10000,10000,10,WR,13.287,1.3287,1000,13287,30,13257,132870,300,16490,16490,16,0.0001190118809384,0.0001054364790133,1.1250190096658532e-05,0.00011668666911,1.0198569019842796,0.0964137486291396,0.0003922332054421,0.949,0.937,0.0068920243760451,1.0,6.060891067578673e-09,0.0,1.26010684298395,0.0,0.0,1.0,True,0.0009617637661285,0.0020008924595895,0.1781728825907921,0.0024925290708197,0.0238345351901371,0.2075050384061178,0.00011595792235406066,0.00010511332913994416,1.1219021628784879e-05,0.00011633235076872904,0.9967813904542103,0.09643939587439877,0.955,0.94
rank,10000,10000,100,WR,13.28,0.1328,1000,1328,3,1325,132800,300,16490,16490,16,0.0001190182623769,0.0001054364585843,1.125611930518551e-05,0.0001166925778894,1.0198608750865037,0.0964596772451946,0.000391878368121,0.95,0.9365,0.0068920243760451,1.0,6.060891067578673e-09,0.0,1.26010684298395,0.0,0.0,1.0,True,0.0009385533387539,0.0020292224795557,0.0266704061388154,0.0026040480508818,0.0239068615438882,0.0561910481610684,0.00011600086236761443,0.00010511318028162853,1.1224920590226454e-05,0.00011633810087185499,0.9971012204796774,0.09648533460753815,0.956,0.939
rank,100000,100000,1,WR,16.60964,16.60964,1000,1660964,1000,1659964,1660964,1000,29944,29944,16,1.1953127035420991e-05,1.0587024782146372e-05,9.26883854120778e-07,1.1513908636267152e-05,1.038104563711078,0.0805011949436394,0.0001719114356578,0.9405,0.931,0.0068920243760451,1.0,8.569183536813762e-09,0.0,1.2208036868380168,0.0,0.0,1.0,True,0.0018185165426693,0.0043139211138477,20.19721703804983,0.0042936780519085,0.2358730085914721,20.443564979516204,1.2218385020945413e-05,1.0608132598360476e-05,9.28974947816174e-07,1.153710754617665e-05,1.0590509772091476,0.08052061091551777,0.941,0.93
rank,100000,100000,10,WR,16.6096,1.66096,1000,166096,100,165996,1660960,1000,29944,29944,16,1.195314868414614e-05,1.0587025639103029e-05,9.268861623947388e-07,1.1513911801497767e-05,1.038106074965028,0.0805013732935129,0.0001719159562204,0.9405,0.931,0.0068920243760451,1.0,8.569183536813762e-09,0.0,1.2208036677811716,0.0,0.0,1.0,True,0.0012761812361422,0.0037119049102766,2.2306193891353905,0.0043089138260111,0.2362173193596536,2.476174765079399,1.2218895793627791e-05,1.0608132344252403e-05,9.289771568523264e-07,1.1537109501104729e-05,1.0590950699096493,0.08052078874378134,0.941,0.93
rank,100000,100000,100,WR,16.609,0.16609,1000,16609,10,16599,1660900,1000,29944,29944,16,1.1953677584992308e-05,1.0587022946648491e-05,9.26919392725454e-07,1.1513942339373943e-05,1.0381491227211672,0.0805040458696823,0.0001716817907286,0.9405,0.931,0.0068920243760451,1.0,8.569183536813762e-09,0.0,1.2208386631065813,0.0,0.0,1.0,True,0.0013283246770733,0.0037169899373548,0.3430564365127356,0.0041860394144896,0.2354483023300999,0.5877780535374768,1.2220159476152561e-05,1.0608133106689713e-05,9.290107724578368e-07,1.153714387914755e-05,1.0592014457095837,0.08052346249550968,0.941,0.93
triplet,1000,1000,1,WR,9.965,9.965,1000,9965,100,9865,9965,100,8192,8192,16,0.0001601271398306,0.0001244997583211,3.156532277354773e-05,0.0001560650810947,1.0248829952672054,0.202997397082302,0.0004182075150364,0.9463,0.915,0.0068920243760451,1.0,6.52263657138969e-09,0.0,11.05879648498531,0.0,0.0,1.0,True,0.0018664391559432,0.0041845999146462,0.1861749799702665,0.0037475918233976,0.0112117679534712,0.2072380096912384,0.00015508771096768657,0.00011150103656515097,3.3127025124009864e-05,0.00014462806168916083,1.072321022326953,0.22904977593634288,0.935,0.901
triplet,1000,1000,10,WR,9.96,0.996,1000,996,10,986,9960,100,8192,8192,16,0.0001601339749755,0.0001245002775214,3.15808520101261e-05,0.0001560811295315,1.0248326550467353,0.2030762181394696,0.0004193863212722,0.9462,0.9143,0.0068920243760451,1.0,6.52263657138969e-09,0.0,11.05879648498531,0.0,0.0,1.0,True,0.0011396091009955,0.0029706789448391,0.0224351001077448,0.0036899533749092,0.0112341592934681,0.0415146604544715,0.000155201659421269,0.0001114973033995054,3.314153677507257e-05,0.00014463884017457796,1.0730289266281574,0.22913303739902086,0.937,0.899
triplet,1000,1000,100,WR,9.9,0.099,1000,99,1,98,9900,100,8192,8192,16,0.0001602431429044,0.0001245236915379,3.177961247586879e-05,0.0001563033040138,1.02406988091763,0.2040622166448868,0.000424488331963,0.9467,0.9146,0.0068920243760451,1.0,6.52263657138969e-09,0.0,11.05879648498531,0.0,0.0,1.0,True,0.0011584016513079,0.0030938629275187,0.0044868476751144,0.0034255786126013,0.0113662901368807,0.0235783720964682,0.00015551312080785317,0.00011150964972869601,3.334847249894431e-05,0.00014485812222764032,1.0735547197240956,0.23021472311050778,0.937,0.898
triplet,10000,10000,1,WR,13.2877,13.2877,1000,132877,300,132577,132877,300,8192,8192,16,1.4471845044738714e-05,1.2126230150363987e-05,2.3350615869417262e-06,1.4461291737305713e-05,1.0014305952294602,0.1621323076615663,8.998011731276264e-05,0.9466,0.9247,0.0068920243760451,1.0,8.222363078056548e-09,0.0,4.037176547996126,0.0,0.0,1.0,True,0.002118043751805,0.0043137501211604,2.428038093453273,0.0041808317209361,0.1300059588139411,2.5687155708704377,1.4073491705996195e-05,1.0938132154943033e-05,2.448384602513441e-06,1.3386516757456474e-05,1.0513184244256122,0.18289930434290586,0.935,0.913
triplet,10000,10000,10,WR,13.287,1.3287,1000,13287,30,13257,132870,300,8192,8192,16,1.447362607762646e-05,1.212623337851316e-05,2.335185780038801e-06,1.4461419158551958e-05,1.0015426894917712,0.162139485016741,9.012351562379638e-05,0.9466,0.9247,0.0068920243760451,1.0,8.222363078056548e-09,0.0,4.037176547996126,0.0,0.0,1.0,True,0.0016020578357856,0.0034822545821079,0.2946923302954528,0.0042323318625567,0.1315123110829154,0.4355672341586323,1.407449717849904e-05,1.0938143434344152e-05,2.4485160305730007e-06,1.3386659464917153e-05,1.0513823269639841,0.182907172397259,0.934,0.913
triplet,10000,10000,100,WR,13.28,0.1328,1000,1328,3,1325,132800,300,8192,8192,16,1.4476092572480895e-05,1.21258302385805e-05,2.336335519362061e-06,1.4462165757942562e-05,1.001656147004251,0.1622107579551163,8.911161360982282e-05,0.9468,0.9241,0.0068920243760451,1.0,8.222363078056548e-09,0.0,4.037176547996126,0.0,0.0,1.0,True,0.0015819765027845,0.0037091039081569,0.0601914415711071,0.0041964496698928,0.1313667107534129,0.2010945677115814,1.4072092000884841e-05,1.0937825264853227e-05,2.4497259840847535e-06,1.338755124893798e-05,1.0511326335352902,0.18298536741579888,0.934,0.913
triplet,100000,100000,1,WR,16.60964,16.60964,1000,1660964,1000,1659964,1660964,1000,8192,8192,16,1.405863154638634e-06,1.2077211619978394e-06,1.8672807666363265e-07,1.3944492386614722e-06,1.0060175574315784,0.1344831553476424,3.500093194660024e-05,0.9498,0.9309,0.0068920243760451,1.0,1.8551517299886e-08,0.0,2.2568031948452982,0.0,0.0,1.0,True,0.0040883541346993,0.0035420499291503,26.47136730170436,0.0048587973384419,1.3357854602984154,27.819688105804264,1.2512310126924052e-06,1.091618440090159e-06,1.9602097089182154e-07,1.2876394109819805e-06,0.9717246940571588,0.1522328139539717,0.948,0.932
triplet,100000,100000,10,WR,16.6096,1.66096,1000,166096,100,165996,1660960,1000,8192,8192,16,1.4058780715921444e-06,1.2077211048766763e-06,1.867285173983053e-07,1.3944496222749816e-06,1.006028319752253,0.1344834342367763,3.500601046814372e-05,0.9497,0.9309,0.0068920243760451,1.0,1.8551517299886e-08,0.0,2.2568031948452982,0.0,0.0,1.0,True,0.0040556292493129,0.0036010600068839,3.33018883137987,0.0051563991361763,1.3564997123603244,4.699547426250531,1.251211991612367e-06,1.0916186637997534e-06,1.9602147436260983e-07,1.2876401381623632e-06,0.9717093732399613,0.15223311898490444,0.948,0.932
triplet,100000,100000,100,WR,16.609,0.16609,1000,16609,10,16599,1660900,1000,8192,8192,16,1.4059392897061772e-06,1.2077193745187438e-06,1.86734984668124e-07,1.3944543591868678e-06,1.0060677306566614,0.1344876302356795,3.504229858402709e-05,0.9496,0.931,0.0068920243760451,1.0,1.8551517299886e-08,0.0,2.2568031948452982,0.0,0.0,1.0,True,0.0040185910526197,0.003666599240154,0.7192907612635754,0.005046939501306,1.3468946384550071,2.078965671913233,1.2513556053234592e-06,1.0916163869741252e-06,1.9602814541697869e-07,1.2876445323911038e-06,0.9718175892843209,0.15223778029248675,0.948,0.932
